"id","ph","k","ca","mg","acidez","p","fe","cu","zn","mn","sat_aci","latitud","longitud","ordenes","suborden"
1,"5.1","0.15","1.4","1.4","0.6","4","149","8","1.9","5","18","10.40904","-83.91854","ENTISOLES","Psamments"
2,"5.4","0.08","0.9","0.3","0.7","5","188","9","1.9","24","36","10.33225","-83.93059","ULTISOLES / INCEPTISOLES","Udults / Udepts"
3,"5.6","0.19","3.8","0.9","0.6","9","82","13","3.2","49","11","10.27148","-83.86778","ENTISOLES","Psamments"
4,"5.7","0.15","6.8","2","0.6","11","85","12","2.4","52","6","10.38717","-83.89483","ULTISOLES / INCEPTISOLES","Udults / Udepts"
5,"4.4","0.11","2.4","2.2","2.1","2","143","7","3.3","39","31","10.38258","-83.93044","ULTISOLES / INCEPTISOLES","Udults / Udepts"
6,"4.3","0.09","1.8","1.5","3","4","155","6","1.7","28","47","10.38258","-83.93044","ULTISOLES / INCEPTISOLES","Udults / Udepts"
7,"5.47","0.05","1.8","0.6","0.6","5","117","6","1.3","16","19","10.34035","-83.92008","ULTISOLES / INCEPTISOLES","Udults / Udepts"
8,"5.74","0.14","4.7","1.1","0.3","6","53","9","1.9","31","4","10.34479","-83.92554","ULTISOLES / INCEPTISOLES","Udults / Udepts"
9,"5.21","0.45","1.5","0.4","0.6","2","88","7","0.6","22","21","10.34479","-83.92554","ULTISOLES / INCEPTISOLES","Udults / Udepts"
10,"4.48","0.07","1.5","1.3","3.2","3","239","11","2.6","13","53","10.40908","-83.9175","ENTISOLES","Psamments"
11,"5.4","0.23","7.2","2.6","1","12","156","6","1.9","33","9","10.39499","-83.90895","ULTISOLES / INCEPTISOLES","Udults / Udepts"
12,"4.7","0.2","2.3","2.2","4","5","235","5","1.5","7","46","10.38218","-83.94534","ULTISOLES / INCEPTISOLES","Udults / Udepts"
13,"4.33","0.15","1.9","1.7","3.6","4","263","5","1.4","8","49","10.38218","-83.94534","ULTISOLES / INCEPTISOLES","Udults / Udepts"
14,"5.9","0.23","8.2","1.4","0.9","19","117","9","2.6","44","8","10.33216","-83.8548","INCEPTISOLES","Udepts"
15,"4.7","0.18","3.4","0.9","2.4","10","254","6","1.5","62","35","10.26974","-83.87289","ENTISOLES","Psamments"
17,"4.5","0.14","0.2","0.1","1.5","4","143","10","0.5","10","80","10.35458","-83.93606","ULTISOLES / INCEPTISOLES","Udults / Udepts"
18,"4.9","0.09","2.3","1.2","1.4","3","206","9","1.1","19","28","10.38367","-83.98566","INCEPTISOLES","Udepts"
19,"5.5","0.05","5.8","1.7","0.3","9","113","5","1.4","17","4","10.37567","-83.90694","ULTISOLES / INCEPTISOLES","Udults / Udepts"
20,"5.6","0.27","4.3","1.6","0.4","6","104","4","1.3","7","6","10.35449","-83.8987","ULTISOLES / INCEPTISOLES","Udults / Udepts"
22,"4.45","0.16","1.4","1.2","2.2","2","172","7","2.2","39","45","10.32188","-83.94045","ULTISOLES / INCEPTISOLES","Udults / Udepts"
24,"5.92","0.43","8.3","3.2","0.3","13","142","7","2.5","9","3","10.39411","-83.90985","ULTISOLES / INCEPTISOLES","Udults / Udepts"
25,"5.3","0.24","7.6","2.9","0.3","9","84","4","2.2","29","3","10.42459","-83.97131","ULTISOLES / INCEPTISOLES","Udults / Udepts"
26,"5.9","0.36","5.9","3.2","0.3","10","74","9","2.7","8","3","10.40439","-83.97793","ULTISOLES / INCEPTISOLES","Udults / Udepts"
27,"5.4","0.19","0.5","0.3","0.5","3","56","6","0.8","11","33","10.32967","-83.92152","ULTISOLES / INCEPTISOLES","Udults / Udepts"
28,"4.38","0.15","1.9","2","3","9","223","7","1.7","6","43","10.38264","-83.93469","ULTISOLES / INCEPTISOLES","Udults / Udepts"
29,"4","0.12","1.4","1.3","3.8","7","295","4","1.6","5","58","10.38264","-83.93469","ULTISOLES / INCEPTISOLES","Udults / Udepts"
31,"4.8","0.19","1.3","1.5","1.9","5","153","7","2","12","39","10.38226","-83.92556","ULTISOLES / INCEPTISOLES","Udults / Udepts"
32,"5","0.18","1.1","1.5","1.2","4","202","10","2.9","14","31","10.38226","-83.92556","ULTISOLES / INCEPTISOLES","Udults / Udepts"
33,"5.5","0.2","3.8","1.9","0.5","18","121","6","2","3","8","10.35626","-83.86521","ULTISOLES / INCEPTISOLES","Udults / Udepts"
34,"4.22","0.22","1.3","1.2","3.5","3","179","7","1.3","12","57","10.38262","-83.94208","ULTISOLES / INCEPTISOLES","Udults / Udepts"
35,"4.05","0.13","2","2.2","4.9","8","301","9","2","6","53","10.38262","-83.94208","ULTISOLES / INCEPTISOLES","Udults / Udepts"
36,"4.7","0.17","5.6","1.3","1.1","5","169","4","1.9","54","13","10.42015","-83.97964","ULTISOLES / INCEPTISOLES","Udults / Udepts"
37,"5.1","0.08","0.5","1.3","1.1","3","75","3","0.3","23","38","10.28607","-83.90078","INCEPTISOLES","Udepts"
38,"5.4","0.11","1.6","0.7","0.5","7","154","7","6.4","40","18","10.33785","-83.92402","ULTISOLES / INCEPTISOLES","Udults / Udepts"
39,"5.6","0.16","3.5","0.7","0.7","10","152","11","4.5","41","14","10.27712","-83.87263","ANDISOLES","Udands"
40,"5.4","0.14","3.3","0.7","0.5","5","85","13","3.1","29","11","10.25805","-83.8946","ANDISOLES","Udands"
41,"5.2","0.04","2.6","1.3","1.6","6","163","9","1.5","24","29","10.34261","-83.90885","ULTISOLES / INCEPTISOLES","Udults / Udepts"
42,"5.4","0.27","1.9","1.6","0.6","7","83","8","3.3","10","15","10.32131","-83.93497","ULTISOLES / INCEPTISOLES","Udults / Udepts"
43,"5","0.05","0.3","0.2","1.3","2","116","9","1","25","71","10.25504","-83.93268","INCEPTISOLES","Udepts"
44,"6.3","0.39","5.2","1","0.2","4","31","9","1.4","7","3","10.32749","-83.94989","ULTISOLES / INCEPTISOLES","Udults / Udepts"
46,"4.4","0.27","0.3","1","1.8","5","138","8","1.2","37","54","10.38893","-83.92985","ULTISOLES / INCEPTISOLES","Udults / Udepts"
47,"5.7","0.58","4.6","1.6","0.3","7","67","7","2","19","4","10.36183","-83.8602","ENTISOLES","Psamments"
48,"5","0.38","2.7","1.2","0.7","4","143","7","3.5","19","13","10.36183","-83.8602","ENTISOLES","Psamments"
49,"5.3","0.1","1.9","0.5","0.5","2","47","2","0.1","3","18","10.38385","-83.90102","ULTISOLES / INCEPTISOLES","Udults / Udepts"
51,"4.8","0.18","1.4","0.4","1.4","4","82","12","2.6","31","42","10.27259","-83.92362","INCEPTISOLES","Udepts"
52,"5.64","0.1","5.4","2.6","0.4","3","61","7","5.6","24","4","10.38567","-83.94326","ULTISOLES / INCEPTISOLES","Udults / Udepts"
53,"5.2","0.09","2.1","1.7","0.7","5","73","1","0.5","3","15","10.3747","-83.90499","ULTISOLES / INCEPTISOLES","Udults / Udepts"
54,"4.33","0.14","1.6","1.4","3.1","6","259","7","1.8","13","49","10.38549","-83.94426","ULTISOLES / INCEPTISOLES","Udults / Udepts"
55,"5.8","0.17","7","2.4","0.4","16","78","10","2.8","46","4","10.38189","-83.88531","ULTISOLES / INCEPTISOLES","Udults / Udepts"
57,"5.4","0.28","10.2","3.1","0.5","14","102","13","3.3","28","4","10.39796","-83.91309","ENTISOLES","Psamments"
58,"4.96","0.07","2.6","1.5","1.3","4","109","9","1.8","9","24","10.38149","-83.95381","ULTISOLES / INCEPTISOLES","Udults / Udepts"
